Call Center;Group;Operator_name;Month;contacts_per_hour;csat_percent;fcr_percent;qc_score
КЦ 2;Группа 3;Operator_034;Месяц 4;14.2;78.9;76.1;65.9
КЦ 2;Группа 3;Operator_035;Месяц 4;7.8;79.5;82.8;77.2
КЦ 2;Группа 3;Operator_036;Месяц 4;9.8;79.0;77.7;93.3
КЦ 2;Группа 3;Operator_037;Месяц 4;8;50.9;83.5;71.4
КЦ 2;Группа 3;Operator_038;Месяц 4;14;69.4;79.9;92.8
КЦ 2;Группа 3;Operator_039;Месяц 4;13.3;53.6;76.9;69.2
КЦ 2;Группа 3;Operator_040;Месяц 4;14.9;50.4;80.3;74.6
КЦ 2;Группа 3;Operator_041;Месяц 4;6.6;64.3;83.2;79.0
КЦ 2;Группа 3;Operator_042;Месяц 4;12.3;63.5;79.4;95.1
КЦ 2;Группа 3;Operator_043;Месяц 4;14.8;63.5;80.9;75.2
КЦ 2;Группа 3;Operator_044;Месяц 4;14.1;77.3;83.3;67.5
КЦ 2;Группа 4;Operator_045;Месяц 4;11.6;63.0;78.2;73.8
КЦ 2;Группа 4;Operator_046;Месяц 4;12.7;55.4;80.9;87.2
КЦ 2;Группа 4;Operator_047;Месяц 4;11;59.4;78.2;99.0
КЦ 2;Группа 4;Operator_048;Месяц 4;9.7;77.8;79.4;89.4
КЦ 2;Группа 4;Operator_049;Месяц 4;8.9;65.0;82.2;82.8
КЦ 2;Группа 4;Operator_050;Месяц 4;13.9;78.0;80.1;93.7
КЦ 2;Группа 4;Operator_051;Месяц 4;14.2;70.9;80.7;73.2
КЦ 2;Группа 4;Operator_052;Месяц 4;8.6;76.1;83.7;80.4
КЦ 2;Группа 4;Operator_053;Месяц 4;9.1;75.8;78.8;76.1
КЦ 2;Группа 4;Operator_054;Месяц 4;14.2;63.3;81.9;96.6
КЦ 2;Группа 4;Operator_055;Месяц 4;10.7;77.4;76.4;81.1
КЦ 2;Группа 5;Operator_056;Месяц 4;10.3;75.4;77.0;78.5
КЦ 2;Группа 5;Operator_057;Месяц 4;14.2;68.2;80.0;96.6
КЦ 2;Группа 5;Operator_058;Месяц 4;8.7;59.3;79.4;85.3
КЦ 2;Группа 5;Operator_059;Месяц 4;13.6;64.5;83.1;91.1
КЦ 2;Группа 5;Operator_060;Месяц 4;7.6;66.1;79.5;88.5
КЦ 2;Группа 5;Operator_061;Месяц 4;10;77.3;78.0;79.3
КЦ 2;Группа 5;Operator_062;Месяц 4;9.8;54.6;79.1;68.5
КЦ 2;Группа 5;Operator_063;Месяц 4;13.8;61.9;76.9;69.3
КЦ 2;Группа 5;Operator_064;Месяц 4;14.2;56.5;83.7;76.5
КЦ 2;Группа 5;Operator_065;Месяц 4;14.8;59.7;76.7;66.8
КЦ 2;Группа 5;Operator_066;Месяц 4;10.1;63.7;84.6;67.1
КЦ 3;Группа 6;Operator_067;Месяц 4;12.3;79.8;80.3;80.9
КЦ 3;Группа 6;Operator_068;Месяц 4;10.3;52.9;79.3;88.3
КЦ 3;Группа 6;Operator_069;Месяц 4;11.2;53.7;78.5;88.3
КЦ 3;Группа 6;Operator_070;Месяц 4;14.3;72.9;80.7;93.3
КЦ 3;Группа 6;Operator_071;Месяц 4;12.6;50.2;83.7;84.8
КЦ 3;Группа 6;Operator_072;Месяц 4;7.7;51.6;76.6;86.6
КЦ 3;Группа 6;Operator_073;Месяц 4;7.9;51.4;79.0;86.0
КЦ 3;Группа 6;Operator_074;Месяц 4;14.5;74.2;75.7;95.2
КЦ 3;Группа 6;Operator_075;Месяц 4;6.6;75.0;84.2;68.1
КЦ 3;Группа 6;Operator_076;Месяц 4;11.4;60.5;82.3;93.7
КЦ 3;Группа 6;Operator_077;Месяц 4;7.4;77.7;80.6;87.2
КЦ 3;Группа 6;Operator_078;Месяц 4;8.7;75.0;75.8;95.2
КЦ 3;Группа 6;Operator_079;Месяц 4;7;51.9;76.0;96.5
КЦ 3;Группа 6;Operator_080;Месяц 4;14.9;67.9;82.9;87.7
КЦ 3;Группа 6;Operator_081;Месяц 4;14.9;71.0;78.9;85.8
КЦ 3;Группа 6;Operator_082;Месяц 4;10.1;60.9;76.8;72.5
КЦ 3;Группа 7;Operator_083;Месяц 4;13.2;53.9;78.8;70.7
КЦ 3;Группа 7;Operator_084;Месяц 4;8.2;59.3;83.1;81.4
КЦ 3;Группа 7;Operator_085;Месяц 4;11.4;69.2;83.7;84.4
КЦ 3;Группа 7;Operator_086;Месяц 4;11.6;50.8;75.5;82.6
КЦ 3;Группа 7;Operator_087;Месяц 4;13.5;71.2;79.5;65.2
КЦ 3;Группа 7;Operator_088;Месяц 4;13.2;53.3;84.1;85.9
КЦ 3;Группа 7;Operator_089;Месяц 4;7.3;65.2;84.9;84.4
КЦ 3;Группа 7;Operator_090;Месяц 4;14.9;51.3;80.5;93.5
КЦ 3;Группа 7;Operator_091;Месяц 4;14.1;78.0;80.2;99.6
КЦ 3;Группа 7;Operator_092;Месяц 4;13.8;61.6;84.7;82.4
КЦ 3;Группа 7;Operator_093;Месяц 4;9.2;68.1;79.3;89.1
КЦ 3;Группа 7;Operator_094;Месяц 4;14.8;78.6;76.4;86.3
КЦ 3;Группа 7;Operator_095;Месяц 4;6.6;65.9;79.0;87.7
КЦ 3;Группа 7;Operator_096;Месяц 4;11.1;53.7;83.5;80.8
КЦ 3;Группа 7;Operator_097;Месяц 4;6.8;69.1;82.9;82.8
КЦ 3;Группа 7;Operator_098;Месяц 4;9;71.6;80.3;91.9
КЦ 3;Группа 7;Operator_099;Месяц 4;12.1;77.3;75.6;69.3
КЦ 3;Группа 7;Operator_100;Месяц 4;10.7;66.0;80.0;70.9
КЦ 1;Группа 1;Operator_001;Месяц 5;11.2;63.5;79.2;85.3
КЦ 1;Группа 1;Operator_002;Месяц 5;10.5;69.8;81.5;78.9
КЦ 1;Группа 1;Operator_003;Месяц 5;12.8;74.1;79.8;86.7
КЦ 1;Группа 1;Operator_004;Месяц 5;9.7;64.2;80.3;84.2
КЦ 1;Группа 1;Operator_005;Месяц 5;13.1;71.5;78.5;75.4
КЦ 1;Группа 1;Operator_006;Месяц 5;12.4;60.8;82.1;91.2
КЦ 1;Группа 1;Operator_007;Месяц 5;13.5;68.4;83.5;92.8
КЦ 1;Группа 1;Operator_008;Месяц 5;8.9;58.2;82.9;93.1
КЦ 1;Группа 1;Operator_009;Месяц 5;9.5;72.3;79.4;74.5
КЦ 1;Группа 1;Operator_010;Месяц 5;14.2;59.7;81.8;88.3
КЦ 1;Группа 1;Operator_011;Месяц 5;11.4;66.8;78.9;94.2
КЦ 1;Группа 1;Operator_012;Месяц 5;8.2;64.5;80.7;85.9
КЦ 1;Группа 1;Operator_013;Месяц 5;12.1;75.2;81.2;92.5
КЦ 1;Группа 1;Operator_014;Месяц 5;11.9;77.1;79.1;89.6
КЦ 1;Группа 1;Operator_015;Месяц 5;13.3;70.2;81.4;91.8
КЦ 1;Группа 1;Operator_016;Месяц 5;10.3;69.1;79.9;95.4
КЦ 1;Группа 2;Operator_017;Месяц 5;13.2;59.8;78.9;94.3
КЦ 1;Группа 2;Operator_018;Месяц 5;9.8;75.4;78.1;73.5
КЦ 1;Группа 2;Operator_019;Месяц 5;9.9;61.5;76.8;89.7
КЦ 1;Группа 2;Operator_020;Месяц 5;10.8;57.2;79.5;94.2
КЦ 1;Группа 2;Operator_021;Месяц 5;9.4;76.8;81.9;93.4
КЦ 1;Группа 2;Operator_022;Месяц 5;11.5;71.2;80.8;79.1
КЦ 1;Группа 2;Operator_023;Месяц 5;11.7;56.9;82.9;75.8
КЦ 1;Группа 2;Operator_024;Месяц 5;7.5;74.5;79.4;87.6
КЦ 1;Группа 2;Operator_025;Месяц 5;8.4;62.4;77.9;83.2
КЦ 1;Группа 2;Operator_026;Месяц 5;10.9;59.5;80.9;94.1
КЦ 1;Группа 2;Operator_027;Месяц 5;11.2;67.8;82.1;72.1
КЦ 1;Группа 2;Operator_028;Месяц 5;9.1;75.9;79.2;71.5
КЦ 1;Группа 2;Operator_029;Месяц 5;9.2;69.5;82.6;88.6
КЦ 1;Группа 2;Operator_030;Месяц 5;11.1;57.6;78.8;87.1
КЦ 1;Группа 2;Operator_031;Месяц 5;13.8;53.9;79.9;89.2
КЦ 1;Группа 2;Operator_032;Месяц 5;14;58.8;81.1;73.9
КЦ 1;Группа 2;Operator_033;Месяц 5;11.4;64.7;83.9;91.8
КЦ 2;Группа 3;Operator_034;Месяц 5;11.3;58.2;78.5;85.9
КЦ 2;Группа 3;Operator_035;Месяц 5;10;73.8;83.1;82.4
КЦ 2;Группа 3;Operator_036;Месяц 5;7.2;64.5;79.5;81.2
КЦ 2;Группа 3;Operator_037;Месяц 5;11;67.9;81.2;87.8
КЦ 2;Группа 3;Operator_038;Месяц 5;11.3;76.8;79.8;93.1
КЦ 2;Группа 3;Operator_039;Месяц 5;10.9;60.2;80.6;79.2
КЦ 2;Группа 3;Operator_040;Месяц 5;12.3;75.6;78.5;76.9
КЦ 2;Группа 3;Operator_041;Месяц 5;13.1;69.9;80.9;73.2
КЦ 2;Группа 3;Operator_042;Месяц 5;12.7;71.5;77.2;74.5
КЦ 2;Группа 3;Operator_043;Месяц 5;8.6;62.7;79.9;83.8
КЦ 2;Группа 3;Operator_044;Месяц 5;8.5;74.3;80.7;84.9
КЦ 2;Группа 4;Operator_045;Месяц 5;7.9;62.5;81.2;82.4
КЦ 2;Группа 4;Operator_046;Месяц 5;11.4;76.2;82.1;82.6
КЦ 2;Группа 4;Operator_047;Месяц 5;8.3;56.3;79.9;80.8
КЦ 2;Группа 4;Operator_048;Месяц 5;13.7;68.7;83.5;85.6
КЦ 2;Группа 4;Operator_049;Месяц 5;12.1;76.8;80.2;76.9
КЦ 2;Группа 4;Operator_050;Месяц 5;8.8;72.4;83.5;77.1
КЦ 2;Группа 4;Operator_051;Месяц 5;10.4;62.8;79.6;97.2
КЦ 2;Группа 4;Operator_052;Месяц 5;13.5;54.9;81.1;87.3
КЦ 2;Группа 4;Operator_053;Месяц 5;7.5;67.1;80.9;82.8
КЦ 2;Группа 4;Operator_054;Месяц 5;10.9;76.1;82.5;70.2
КЦ 2;Группа 4;Operator_055;Месяц 5;6.9;77.2;79.2;81.9
КЦ 2;Группа 5;Operator_056;Месяц 5;13.3;61.2;76.7;90.5
КЦ 2;Группа 5;Operator_057;Месяц 5;9.3;60.6;79.5;88.4
КЦ 2;Группа 5;Operator_058;Месяц 5;13.8;77.1;80.1;80.9
КЦ 2;Группа 5;Operator_059;Месяц 5;13.4;56.5;79.8;88.7
КЦ 2;Группа 5;Operator_060;Месяц 5;12.4;57.1;83.2;73.8
КЦ 2;Группа 5;Operator_061;Месяц 5;6.6;70.9;81.9;95.4
КЦ 2;Группа 5;Operator_062;Месяц 5;9.2;75.8;79.2;85.7
КЦ 2;Группа 5;Operator_063;Месяц 5;13.1;65.5;83.2;70.2
КЦ 2;Группа 5;Operator_064;Месяц 5;13.9;67.1;80.4;84.9
КЦ 2;Группа 5;Operator_065;Месяц 5;13.4;74.3;76.6;92.4
КЦ 2;Группа 5;Operator_066;Месяц 5;12.5;69.1;81.3;85.1
КЦ 3;Группа 6;Operator_067;Месяц 5;7;65.5;80.7;85.8
КЦ 3;Группа 6;Operator_068;Месяц 5;8.9;56.8;80.9;92.3
КЦ 3;Группа 6;Operator_069;Месяц 5;11.8;58.1;82.9;71.3
КЦ 3;Группа 6;Operator_070;Месяц 5;13.9;73.2;80.9;96.4
КЦ 3;Группа 6;Operator_071;Месяц 5;13.5;76.5;82.1;89.9
КЦ 3;Группа 6;Operator_072;Месяц 5;8.3;57.9;80.2;70.5
КЦ 3;Группа 6;Operator_073;Месяц 5;8.5;61.8;80.5;85.4
КЦ 3;Группа 6;Operator_074;Месяц 5;10.6;62.4;78.5;73.2
КЦ 3;Группа 6;Operator_075;Месяц 5;10.6;54.2;82.9;92.8
КЦ 3;Группа 6;Operator_076;Месяц 5;9.7;60.7;79.7;86.8
КЦ 3;Группа 6;Operator_077;Месяц 5;9.5;60.5;78.1;75.9
КЦ 3;Группа 6;Operator_078;Месяц 5;13.2;73.1;80.2;74.1
КЦ 3;Группа 6;Operator_079;Месяц 5;12.8;71.8;78.9;84.7
КЦ 3;Группа 6;Operator_080;Месяц 5;11.4;74.7;78.8;75.1
КЦ 3;Группа 6;Operator_081;Месяц 5;10.9;56.2;80.6;78.5
КЦ 3;Группа 6;Operator_082;Месяц 5;10.8;62.7;77.6;90.2
КЦ 3;Группа 7;Operator_083;Месяц 5;9;68.0;78.9;73.8
КЦ 3;Группа 7;Operator_084;Месяц 5;14.5;76.2;81.8;74.8
КЦ 3;Группа 7;Operator_085;Месяц 5;6.9;64.5;83.2;97.1
КЦ 3;Группа 7;Operator_086;Месяц 5;12.2;72.6;82.4;78.9
КЦ 3;Группа 7;Operator_087;Месяц 5;13.3;77.1;79.9;70.1
КЦ 3;Группа 7;Operator_088;Месяц 5;7.6;61.1;82.1;87.7
КЦ 3;Группа 7;Operator_089;Месяц 5;8.4;68.9;78.9;74.0
КЦ 3;Группа 7;Operator_090;Месяц 5;10.8;67.5;80.3;96.9
КЦ 3;Группа 7;Operator_091;Месяц 5;10.3;76.7;78.4;92.7
КЦ 3;Группа 7;Operator_092;Месяц 5;9.1;61.0;81.3;75.6
КЦ 3;Группа 7;Operator_093;Месяц 5;9.7;75.1;79.1;90.7
КЦ 3;Группа 7;Operator_094;Месяц 5;13.6;54.9;82.6;80.8
КЦ 3;Группа 7;Operator_095;Месяц 5;11.5;54.6;77.1;89.8
КЦ 3;Группа 7;Operator_096;Месяц 5;8.4;57.0;81.3;86.1
КЦ 3;Группа 7;Operator_097;Месяц 5;12.7;66.7;77.3;86.5
КЦ 3;Группа 7;Operator_098;Месяц 5;13.2;59.3;77.9;90.3
КЦ 3;Группа 7;Operator_099;Месяц 5;7.9;55.7;83.5;91.0
КЦ 3;Группа 7;Operator_100;Месяц 5;11.2;58.3;79.6;87.4
КЦ 1;Группа 1;Operator_001;Месяц 6;10.8;66.2;80.5;83.8
КЦ 1;Группа 1;Operator_002;Месяц 6;11.3;72.5;79.3;81.2
КЦ 1;Группа 1;Operator_003;Месяц 6;13.4;70.3;82.4;84.5
КЦ 1;Группа 1;Operator_004;Месяц 6;10.4;67.1;78.8;82.1
КЦ 1;Группа 1;Operator_005;Месяц 6;12.7;64.8;80.2;77.3
КЦ 1;Группа 1;Operator_006;Месяц 6;12.9;58.4;83.7;88.9
КЦ 1;Группа 1;Operator_007;Месяц 6;14.1;66.9;84.2;90.5
КЦ 1;Группа 1;Operator_008;Месяц 6;8.4;56.7;81.5;91.7
КЦ 1;Группа 1;Operator_009;Месяц 6;10.2;74.8;78.2;76.8
КЦ 1;Группа 1;Operator_010;Месяц 6;13.8;62.1;82.6;86.9
КЦ 1;Группа 1;Operator_011;Месяц 6;11.6;69.5;79.7;92.8
КЦ 1;Группа 1;Operator_012;Месяц 6;8.7;66.3;81.9;84.3
КЦ 1;Группа 1;Operator_013;Месяц 6;11.8;73.9;80.1;90.9
КЦ 1;Группа 1;Operator_014;Месяц 6;12.5;75.8;78.4;88.1
КЦ 1;Группа 1;Operator_015;Месяц 6;14.3;68.7;82.3;89.7
КЦ 1;Группа 1;Operator_016;Месяц 6;10.6;67.8;80.8;93.6
КЦ 1;Группа 2;Operator_017;Месяц 6;12.6;62.4;79.8;91.9
КЦ 1;Группа 2;Operator_018;Месяц 6;10.4;72.9;79.2;80.2
КЦ 1;Группа 2;Operator_019;Месяц 6;9.1;60.8;77.9;87.5
КЦ 1;Группа 2;Operator_020;Месяц 6;9.5;59.9;80.8;91.8
КЦ 1;Группа 2;Operator_021;Месяц 6;9;74.2;80.5;95.2
КЦ 1;Группа 2;Operator_022;Месяц 6;12.1;68.5;78.9;77.1
КЦ 1;Группа 2;Operator_023;Месяц 6;12.2;59.4;81.2;78.9
КЦ 1;Группа 2;Operator_024;Месяц 6;9.8;72.2;77.8;85.3
КЦ 1;Группа 2;Operator_025;Месяц 6;7.8;65.1;79.5;84.8
КЦ 1;Группа 2;Operator_026;Месяц 6;7.4;58.8;77.4;86.9
КЦ 1;Группа 2;Operator_027;Месяц 6;10.2;71.4;78.3;87.1
КЦ 1;Группа 2;Operator_028;Месяц 6;12.9;73.2;80.9;90.6
КЦ 1;Группа 2;Operator_029;Месяц 6;13.1;60.9;78.9;85.1
КЦ 1;Группа 2;Operator_030;Месяц 6;9.4;55.3;80.3;87.9
КЦ 1;Группа 2;Operator_031;Месяц 6;7.6;75.9;78.1;89.1
КЦ 1;Группа 2;Operator_032;Месяц 6;13.2;54.2;80.1;82.5
КЦ 1;Группа 2;Operator_033;Месяц 6;9.5;56.1;76.8;86.9
КЦ 2;Группа 3;Operator_034;Месяц 6;7.9;60.1;80.9;89.4
КЦ 2;Группа 3;Operator_035;Месяц 6;11.9;56.2;80.7;84.7
КЦ 2;Группа 3;Operator_036;Месяц 6;13.2;72.1;77.5;96.1
КЦ 2;Группа 3;Operator_037;Месяц 6;7.6;73.2;82.1;72.1
КЦ 2;Группа 3;Operator_038;Месяц 6;12.6;61.8;76.7;95.7
КЦ 2;Группа 3;Operator_039;Месяц 6;13.9;67.6;79.1;83.4
КЦ 2;Группа 3;Operator_040;Месяц 6;12.3;74.9;83.5;87.0
КЦ 2;Группа 3;Operator_041;Месяц 6;11.9;68.1;82.5;88.7
КЦ 2;Группа 3;Operator_042;Месяц 6;12.8;62.6;83.7;73.1
КЦ 2;Группа 3;Operator_043;Месяц 6;11.3;75.8;78.8;76.2
КЦ 2;Группа 3;Operator_044;Месяц 6;14.4;75.1;81.6;84.5
КЦ 2;Группа 4;Operator_045;Месяц 6;12.3;57.2;80.5;87.1
КЦ 2;Группа 4;Operator_046;Месяц 6;11.8;77.4;80.4;78.0
КЦ 2;Группа 4;Operator_047;Месяц 6;11.6;73.0;79.8;87.0
КЦ 2;Группа 4;Operator_048;Месяц 6;10.9;65.8;78.5;81.3
КЦ 2;Группа 4;Operator_049;Месяц 6;13;69.8;79.3;72.2
КЦ 2;Группа 4;Operator_050;Месяц 6;13.8;64.9;82.9;86.4
КЦ 2;Группа 4;Operator_051;Месяц 6;14.8;58.2;79.3;80.9
КЦ 2;Группа 4;Operator_052;Месяц 6;12.1;65.1;80.4;91.3
КЦ 2;Группа 4;Operator_053;Месяц 6;7.6;58.1;78.4;96.5
КЦ 2;Группа 4;Operator_054;Месяц 6;13;72.2;82.9;97.5
КЦ 2;Группа 4;Operator_055;Месяц 6;8.4;69.2;79.5;90.3
КЦ 2;Группа 5;Operator_056;Месяц 6;11.5;73.7;78.0;84.1
КЦ 2;Группа 5;Operator_057;Месяц 6;15;62.5;83.5;91.6
КЦ 2;Группа 5;Operator_058;Месяц 6;10.6;72.0;80.6;94.0
КЦ 2;Группа 5;Operator_059;Месяц 6;14.8;57.8;79.2;96.6
КЦ 2;Группа 5;Operator_060;Месяц 6;14.9;73.4;81.0;96.8
КЦ 2;Группа 5;Operator_061;Месяц 6;8;60.5;76.9;93.5
КЦ 2;Группа 5;Operator_062;Месяц 6;10.2;74.1;77.9;84.5
КЦ 2;Группа 5;Operator_063;Месяц 6;12.7;66.8;83.2;92.5
КЦ 2;Группа 5;Operator_064;Месяц 6;13.5;54.2;81.7;77.1
КЦ 2;Группа 5;Operator_065;Месяц 6;14.7;57.5;76.4;75.0
КЦ 2;Группа 5;Operator_066;Месяц 6;10.3;68.9;77.6;86.2
КЦ 3;Группа 6;Operator_067;Месяц 6;7.3;55.8;77.0;84.0
КЦ 3;Группа 6;Operator_068;Месяц 6;14.3;70.5;80.9;76.5
КЦ 3;Группа 6;Operator_069;Месяц 6;8.5;56.3;77.4;88.5
КЦ 3;Группа 6;Operator_070;Месяц 6;9;63.9;79.5;76.6
КЦ 3;Группа 6;Operator_071;Месяц 6;12.9;54.2;83.0;91.6
КЦ 3;Группа 6;Operator_072;Месяц 6;11.8;60.1;80.5;80.6
КЦ 3;Группа 6;Operator_073;Месяц 6;9.9;61.7;81.3;73.1
КЦ 3;Группа 6;Operator_074;Месяц 6;11.6;63.2;76.7;88.6
КЦ 3;Группа 6;Operator_075;Месяц 6;9.4;70.5;80.9;83.4
КЦ 3;Группа 6;Operator_076;Месяц 6;12.9;62.7;79.9;80.3
КЦ 3;Группа 6;Operator_077;Месяц 6;9.4;76.1;80.4;75.2
КЦ 3;Группа 6;Operator_078;Месяц 6;13.6;66.7;79.4;78.4
КЦ 3;Группа 6;Operator_079;Месяц 6;12.9;77.1;82.8;84.5
КЦ 3;Группа 6;Operator_080;Месяц 6;13.8;66.4;78.3;87.1
КЦ 3;Группа 6;Operator_081;Месяц 6;9.8;73.0;82.9;93.2
КЦ 3;Группа 6;Operator_082;Месяц 6;9;73.4;82.1;88.6
КЦ 3;Группа 7;Operator_083;Месяц 6;7.3;78.4;77.5;89.5
КЦ 3;Группа 7;Operator_084;Месяц 6;14.8;65.6;80.6;77.1
КЦ 3;Группа 7;Operator_085;Месяц 6;10.2;62.0;80.2;87.0
КЦ 3;Группа 7;Operator_086;Месяц 6;12.6;61.7;82.9;74.3
КЦ 3;Группа 7;Operator_087;Месяц 6;10.6;78.3;80.3;90.3
КЦ 3;Группа 7;Operator_088;Месяц 6;7.8;69.1;77.6;79.1
КЦ 3;Группа 7;Operator_089;Месяц 6;15;71.7;76.3;83.6
КЦ 3;Группа 7;Operator_090;Месяц 6;8.5;54.2;81.7;81.3
КЦ 3;Группа 7;Operator_091;Месяц 6;14.7;77.5;77.0;95.8
КЦ 3;Группа 7;Operator_092;Месяц 6;11.3;76.7;82.5;80.4
КЦ 3;Группа 7;Operator_093;Месяц 6;11.8;56.1;79.9;91.4
КЦ 3;Группа 7;Operator_094;Месяц 6;7.5;61.6;83.5;95.7
КЦ 3;Группа 7;Operator_095;Месяц 6;12.5;64.9;79.5;89.9
КЦ 3;Группа 7;Operator_096;Месяц 6;10.9;70.1;79.1;78.0
КЦ 3;Группа 7;Operator_097;Месяц 6;11.5;63.0;79.9;71.6
КЦ 3;Группа 7;Operator_098;Месяц 6;10.2;69.9;80.1;90.7
КЦ 3;Группа 7;Operator_099;Месяц 6;11;73.7;79.8;93.2
КЦ 3;Группа 7;Operator_100;Месяц 6;7.9;81.2;82.5;92.2
